帧号,车辆ID,速度(m/s),距离(m),角度(deg)
131,251,14.162739018900758,36.0843067464451,-14.033412175480539
131,253,-12.130259220973063,177.0363450315811,0.5663766223022277
131,254,-11.424978038023731,178.71172806487183,2.8064111766493225
131,255,-14.3147874751216,173.5741487216056,1.7332576787486154
132,248,14.450282054404934,75.7375826519006,-6.634223808983314
132,249,13.880907590866027,67.57676090760107,-1.4839246986833232
132,250,12.792900562918307,63.65434926208596,-4.730940218991822
132,251,14.279859766984728,37.509839886517135,-13.489792225588978
132,253,-12.208022183009843,175.81553892727433,0.5703094873920801
132,254,-11.420221837813076,177.56969306103886,2.824475127500688
132,255,-14.361302185437694,172.13801090118653,1.7477226189284623
133,248,14.455328606892225,77.18284442199936,-6.509454384049056
133,249,13.878532424886219,68.96449344399089,-1.4540580639142469
133,250,12.750916120422076,64.92923759858596,-4.637842538692818
133,251,14.292445942026552,38.93689189258106,-12.986567218110425
133,253,-12.143739718863351,174.601155757793,0.5742762272047585
133,254,-11.39351288778531,176.4303193656387,2.842730308420985
133,255,-14.323629301089566,172.13801090118653,1.7477226189284623
134,248,14.433729273764472,78.62596678515341,-6.389475618127175
134,249,13.77268987481819,70.34165221433028,-1.4255843757364548
134,250,12.780891891520566,66.20714321175308,-4.54813426361118
134,251,14.310530522528346,40.36599275606927,-12.519191955127598
134,252,1.1164861797119017,10.642911198036,-55.29994306462354
134,253,-12.204018973135002,173.3807524962349,0.5783186153547003
134,254,-11.396058247013197,176.4303193656387,2.842730308420985
134,255,-14.309478592469176,169.27470681318738,1.7772949852176685
135,248,14.410714981588495,80.066813211477,-6.274027402754011
135,249,13.79628119994429,71.72118225790081,-1.3981582973739157
135,250,12.851115236989108,67.49208074861117,-4.461368175814076
135,251,14.330263106158775,40.36599275606927,-12.519191955127598
135,252,1.118494407743194,10.642911198036,-55.29994306462354
135,253,-12.17578838050932,173.3807524962349,0.5783186153547003
135,254,-11.36037230897363,174.154675856894,2.879906794767348
135,255,-14.395367988718027,167.8351501482718,1.7925441649699942
136,248,14.457884924146406,81.51237453236207,-6.162327231874094
136,249,13.852303226077547,73.10631391320786,-1.3716625427474423
136,250,12.777644855279952,68.76967969653595,-4.378321899450186
136,251,14.478760653697027,43.247109986410784,-11.67299025158151
136,252,4.6484504633064985,11.22823453786109,-51.19519994963411
136,253,-12.100404918174878,172.16318142743185,0.5824087359994176
136,254,-11.405810873170708,174.154675856894,2.879906794767348
136,255,-14.361564313388612,166.39898210853647,1.808020496568952
137,248,14.415114827327832,82.9536715253129,-6.054854565488063
137,249,13.809414087170147,74.48716814999456,-1.3462297332618636
137,250,12.782127805093104,70.04773768049607,-4.298285499336272
137,251,14.40964190224661,44.68664451723691,-11.29192530658965
137,252,4.631290181145101,11.22823453786109,-51.19519994963411
137,253,-12.180717433603848,170.95313927600165,0.5865312906066504
137,254,-11.409281224994947,171.87318070506532,2.9181683970801506
137,255,-14.413298969717156,164.95763780386477,1.8238236857794414
138,248,14.398609521949417,84.39332641916869,-5.951189247595632
138,249,13.782919196235442,75.86536028014302,-1.3217693541220654
138,250,12.795180784353207,71.32710360059372,-4.2210477927656616
138,251,14.462614355362497,46.131600814059595,-10.933803782469731
138,252,7.388313451172058,12.444491978817906,-44.67804759723418
138,253,-12.133159376831282,168.52174488202544,0.5949939361460148
138,254,-11.418790404295244,170.73128078516376,2.937703010834078
138,255,-14.327654042453744,163.5248577476955,1.8398092236209316
139,248,14.450032567485323,85.83814509604632,-5.850666803892153
139,249,13.866851268225544,77.25196695879245,-1.2980406287936992
