帧号,车辆ID,速度(m/s),距离(m),角度(deg)
92,275,-6.256015665208286,218.85603746345095,-7.928271311356678
92,276,-6.606251649440955,218.3249841348512,-6.984402990723664
92,277,-6.2054155878066295,219.89855312635657,-6.120701774019373
93,270,5.657490563559389,32.22497655063469,36.22771508009946
93,271,8.732466186576303,30.306710273046306,21.264639210487143
93,272,5.5837116715296435,29.677236685616396,32.020636609338275
93,275,-6.505853719980553,218.20543015760242,-7.906927110181346
93,276,-6.789718910043031,217.64597988160264,-6.9590724900414775
93,277,-6.4585847627276,219.2526675425183,-6.094184646375718
94,270,6.154428993020041,32.816484465356034,34.70928062861234
94,271,9.17522673216694,31.203034556462388,19.88688951743133
94,272,6.07389400220446,30.26261974111063,30.59065459666386
94,275,-6.720869255064937,217.5333172438666,-7.8847413151737245
94,276,-7.006831160165534,216.94526065734723,-6.932762939846309
94,277,-6.675424856617523,218.58508783210291,-6.0666092044961655
95,270,6.599870948268101,33.45392715170453,33.22015736626693
95,271,9.569329346405894,32.14056925429562,18.57226127788518
95,272,6.440357610108752,30.886250400967413,29.200264588311708
95,275,-6.953537512907096,216.8379381860841,-7.861640605271779
95,276,-7.1424395486984,216.23099266846228,-6.905766302884918
95,277,-6.812441405238441,217.90381247757716,-6.038290696631578
96,270,7.078137639954279,34.140224073892675,31.754792558709276
96,271,9.942742480599591,33.11706170751032,17.319463152738965
96,272,6.876350535200999,31.55447490585316,27.835003285224385
96,275,-7.189621908759944,216.11895148910008,-7.83759698153129
96,276,-7.352796328950547,215.49568338187632,-6.8777843476084195
96,277,-6.973133996377139,217.2064579616451,-6.009116502223513
97,270,7.464883866488941,34.86661474135031,30.33200830454611
97,271,10.25691644941022,34.126556225702785,16.131156506043254
97,272,7.221900456219667,32.258591948247876,26.512407816453916
97,275,-7.386758429382924,215.38022527375264,-7.812723526669706
97,276,-7.548048669229407,214.740829576848,-6.848855981980737
97,277,-7.152539829719321,216.49116759998546,-5.97899312056882
98,270,7.814488428972955,35.62936237309504,28.95661562965509
98,271,10.57283376919113,35.16899044813112,15.002345461735327
98,272,7.552498953626117,32.99698593591149,25.233280227725384
98,275,-7.519246949338178,214.62829685598132,-7.787227033348384
98,276,-7.7255097875916805,213.96824380890325,-6.819033179321714
98,277,-7.3902107952678815,215.75210622009766,-5.947654995996442
99,270,8.192504610139917,36.431002070767214,27.62198598320934
99,271,10.816607139258235,36.23715324840229,13.935621515183831
99,272,7.838222355183244,33.76520286235563,24.00252475831255
99,275,-7.726150735407981,213.8556429669802,-7.76083815083297
99,276,-7.9757262566595015,213.17063332560963,-6.788013789018324
99,277,-7.536347599475777,214.99842692547753,-5.915471044963192
100,270,8.507692769875156,37.26538790288463,26.33617234713408
100,271,11.032944355846858,37.3281825064005,12.928213775502268
100,272,8.205725641858614,34.570973813861166,22.806058105071116
100,275,-7.871804607540289,213.06842341016372,-7.733751941273414
100,276,-8.173276344487753,213.17063332560963,-6.788013789018324
100,277,-7.76525884394198,214.22186315475253,-5.882068583216487
101,270,8.856855454854584,38.135635330620254,25.092077599608142
101,271,11.348117098936598,38.45160170382669,11.967148970561132
101,272,8.430729815594693,35.400429221416886,21.66218491885425
101,275,-8.094818650654117,212.25890578826107,-7.705685745754138
101,276,-8.399680705266425,211.5133284063468,-6.722799743707262
101,277,-7.936769419318944,213.42812855143464,-5.847671651754451
102,270,9.136298817056042,39.034907614883984,23.897036993129674
102,271,11.486041309850325,39.58990855392685,11.063059390363792
102,272,8.700619122873686,36.25777424239068,20.56171136091168
102,275,-8.348198636442307,211.4240507161015,-7.676512475187657
102,276,-8.651673051501703,211.5133284063468,-6.722799743707262
102,277,-8.146217106473394,212.61346308880354,-5.812095562810655
103,270,9.432397326090575,39.9646996051152,22.746222548011684
103,271,11.692882712727892,40.749721453297504,10.205934231005855
103,272,8.95718396054598,37.14161990751863,19.503915143002704
103,275,-8.563484029860572,210.56766611188493,-7.64634275836566
103,276,-8.872339887992961,209.76092607116993,-6.6527034630055715
103,277,-8.31192084061768,211.78221326651445,-5.775507769687147
104,270,9.631784920275738,40.915478698319404,21.64801466241959
104,271,11.921682575171381,41.93313226276059,9.390751730394392
104,272,9.208392029776913,38.051349342836566,18.487104699781554
104,275,-8.811096822046663,209.68651011572297,-7.6150390880104455
104,276,-9.119627009020228,208.8489025711594,-6.615748923533098
104,277,-8.536803532490449,211.78221326651445,-5.775507769687147
105,270,9.923299648744008,41.89612702109455,20.58907703898835
105,271,12.06650932199622,43.13174688434204,8.61979055933958
105,272,9.333357930160869,38.97452923434525,17.521643822012997
105,273,-2.5356450016601304,24.609635510230678,42.99202893685824
105,275,-8.996850529557932,208.7867799827915,-7.582798599262445
105,276,-9.32319503119382,208.8489025711594,-6.615748923533098
105,277,-8.758968666783625,210.0526330791959,-5.698433662092378
106,270,10.139051105317133,42.899159671423725,19.57497879528133
106,271,12.149889101395283,44.33943738448248,7.892978042767432
106,272,9.579525395406732,39.92293260146363,16.59202152925463
106,273,-1.6496649932622294,24.400101041426595,42.217916152180656
106,275,-9.191195014492505,207.86760848595338,-7.549568649965031
106,276,-9.554373631275924,206.96114324365877,-6.538205258490957
106,277,-8.976143937097833,209.1549470493552,-5.65791845895494
107,270,10.285248694011393,43.917666988359734,18.60910674743146
107,271,12.290242285078373,45.56172727971732,7.203418093065197
107,272,9.778553697168254,40.89185789310647,15.700701613683055
107,273,-0.7436672299160385,24.28015589129538,41.251190102128554
107,275,-9.436079293046358,206.92394649275832,-7.515141259874201
107,276,-9.76823373195878,206.96114324365877,-6.538205258490957
107,277,-9.121605297216856,208.24271010467695,-5.616381692536263
108,270,10.481958526250665,44.956516350827066,17.68349144746318
108,271,12.480269809081163,46.8034884459049,6.545749375091648
108,272,9.872464592250616,41.87091183888854,14.854064501330546
108,273,0.17002160209612094,24.251585307666133,40.11083422508263
108,275,-9.59028165087774,205.96485370159712,-7.479822429878769
108,276,-9.893689801310297,204.99494744793395,-6.455894077482896
108,277,-9.313071037237108,207.31134172897703,-5.573589256171174
109,270,10.636557729692717,46.01149006321034,16.798998365378015
109,271,12.517147279597983,48.049473646531474,5.925228352848498
109,272,10.08567707709928,42.87176491946865,14.039268489027974
109,273,1.0877847367863878,24.314573156556765,38.80712561489234
109,275,-9.804484817657245,204.9843547445937,-7.443368090213165
109,276,-10.09551215337316,203.98532135320042,-6.413000193998985
109,277,-9.496991088953896,206.36156521812103,-5.5295453468651194
110,270,10.803261665752977,47.083697584693844,15.951888680085677
110,271,12.681503921496967,49.31229607541271,5.332921747321716
110,272,10.270296871992018,43.89154265213139,13.256838284633917
110,273,1.9789697808171813,24.4677953438529,37.37664493579339
110,275,-9.94799762298291,203.98949536937653,-7.406015772981808
110,276,-10.287120818675726,202.95653068043794,-6.368845109225472
110,277,-9.646313700916512,205.3968398826391,-5.484382871975115
111,270,10.984636549998521,48.1745664009225,15.138697506790304
111,271,12.723634900499947,50.57975591114309,4.772220447932836
111,272,10.400586069075308,44.92486120858951,12.508712113526396
111,273,2.8564714839438343,24.709852833251187,35.840032494313576
111,275,-10.080486595182597,202.98137498329635,-7.367785883198051
111,276,-10.497516564536896,201.90668623097196,-6.323313991893502
111,277,-9.80802214486962,204.4159614562813,-5.438018335578277
112,270,11.180458997940843,49.28543724202958,14.356490550216586
112,271,12.81430409114684,50.57975591114309,4.772220447932836
112,272,10.49953787140312,45.96854170605284,11.79469505376284
112,273,3.710733610182062,25.03874555847952,34.22400004296132
112,275,-10.285210675244944,201.9527854094818,-7.3283798153978905
