Frame,gid,model,side,n_roi,fit_ok,a,b,x_ref,y_gt,y_hat,y_error,abs_y_error
127,21,0,bottom,20,1,0.0,0.0,5.249998652440486,0.3282517628955346,0.0,-0.3282517628955346,0.3282517628955346
127,22,1,top,0,0,,,,,,,
127,25,1,top,0,0,,,,,,,
128,15,0,top,0,0,,,,,,,
128,16,1,top,0,0,,,,,,,
128,17,2,bottom,0,0,,,,,,,
128,18,0,bottom,0,0,,,,,,,
128,19,1,top,1,0,,,,,,,
128,20,2,bottom,0,0,,,,,,,
128,21,0,bottom,3,1,-2.544601961228599,13.178358428283195,5.249998652440487,2.107778731268183,-0.18079843916437,-2.288577170432553,2.288577170432553
128,22,1,top,1,0,,,,,,,
128,25,1,top,0,0,,,,,,,
129,15,0,top,1,0,,,,,,,
129,16,1,top,1,0,,,,,,,
129,17,2,bottom,0,0,,,,,,,
129,18,0,bottom,0,0,,,,,,,
129,19,1,top,1,0,,,,,,,
129,20,2,bottom,0,0,,,,,,,
129,21,0,bottom,1,0,,,,,,,
129,22,1,top,0,0,,,,,,,
129,25,1,top,1,0,,,,,,,
