甯у彿,杞﹁締ID,閫熷害(m/s),璺濈(m),瑙掑害(deg),Yaw(deg)
162,68,-11.03607768,148.1718289,2.030519694,-180
162,69,-8.311969193,168.4662965,0.595189777,-180
162,70,-11.7757033,153.5915737,3.265866983,-180
162,71,-10.9273923,164.8653183,1.824845316,-180
162,72,-8.265937083,182.9122226,0.548181759,-180
163,55,8.123386153,51.36398303,-1.952477531,-3.05E-05
163,56,10.9951887,84.52076928,-3.561214728,-3.05E-05
163,57,13.75812838,112.3031195,-4.46867996,-3.05E-05
163,58,13.76072531,95.42580465,-5.261085011,-3.05E-05
163,59,11.01667453,68.92758011,-4.368272468,-3.05E-05
163,60,8.054680624,33.95160027,-2.954560748,-3.05E-05
163,61,-8.318560291,150.600386,0.665800888,-180
163,62,-11.70414829,120.0374107,4.180222746,-180
163,63,13.5714751,78.62343933,-6.389681872,-3.05E-05
163,64,-11.03271089,131.5774342,2.286734932,-180
163,65,10.88479645,51.97220545,-5.797652333,-3.05E-05
163,66,7.790878641,20.33436348,-4.937051567,-3.05E-05
163,67,-11.78987908,135.9074197,3.691373617,-180
163,68,-10.8548073,147.0863307,2.045511292,-180
163,69,-8.173032233,167.6489814,0.598091526,-180
163,70,-11.71392011,152.4201597,3.290994099,-180
163,71,-10.92057059,163.7732496,1.837017861,-180
163,72,-8.329425218,182.0792792,0.550689559,-180
164,55,8.237190855,52.18756228,-1.921653558,-3.05E-05
164,56,11.04420888,85.62512521,-3.515225622,-3.05E-05
164,57,13.74091937,113.6771296,-4.414559439,-3.05E-05
164,58,13.69928316,96.79559548,-5.186427925,-3.05E-05
164,59,11.00642653,70.02807526,-4.299494638,-3.05E-05
164,60,8.108157652,34.76198488,-2.885623911,-3.05E-05
164,61,-8.264450542,149.7739412,0.66947491,-180
164,62,-11.74151858,118.8632065,4.221592091,-180
164,63,13.61752131,79.9849603,-6.280473778,-3.05E-05
164,64,-10.99274845,130.478129,2.306011513,-180
164,65,10.95058056,53.06693144,-5.677654454,-3.05E-05
164,66,7.736200214,21.10604232,-4.756119446,-3.05E-05
164,67,-11.72392668,134.7349961,3.723539947,-180
164,68,-11.03542136,145.9827736,2.060980986,-180
164,69,-8.296432291,166.8193409,0.601066116,-180
164,70,-11.94062359,151.2260682,3.317008971,-180
164,71,-10.65454421,162.7077899,1.849051374,-180
164,72,-8.158979727,181.2633799,0.553168389,-180
165,55,8.173471831,53.00479083,-1.89201462,-3.05E-05
165,56,10.9443896,86.71949111,-3.470810166,-3.05E-05
165,57,13.79675103,115.0567205,-4.361523433,-3.05E-05
165,58,13.69835634,98.1653001,-5.11386732,-3.05E-05
165,59,11.06432895,71.13437295,-4.232505071,-3.05E-05
165,60,8.119342995,35.57350908,-2.81974151,-3.05E-05
165,61,-8.201352871,148.9538015,0.673161208,-180
165,62,-11.73091325,117.6900632,4.263750699,-180
165,63,13.59398083,81.34413452,-6.175121992,-3.05E-05
165,64,-11.05942568,129.3721747,2.32573553,-180
165,65,10.95251386,54.16188452,-5.562507513,-3.05E-05
165,66,7.782629793,21.88254474,-4.586980285,-3.05E-05
165,67,-11.68720109,133.5662319,3.756169138,-180
165,68,-10.9920534,144.883557,2.07662426,-180
165,69,-8.249754289,165.9943652,0.604053466,-180
165,70,-11.81083042,150.0449626,3.343148954,-180
165,71,-10.82739931,161.6250342,1.861442853,-180
165,72,-8.361810135,180.4271932,0.555732119,-180
166,55,8.205057609,53.8251871,-1.86316654,-3.05E-05
166,56,11.05096731,87.82450563,-3.427087684,-3.05E-05
166,57,13.79430691,116.4360748,-4.309756598,-3.05E-05
166,58,13.78222149,99.54339902,-5.042885228,-3.05E-05
166,59,10.926242,72.22687921,-4.168369989,-3.05E-05
166,60,8.066059971,36.37973436,-2.757203305,-3.05E-05
166,61,-8.319077294,148.1218838,0.676942153,-180
166,62,-11.66332837,116.5236793,4.306510332,-180
166,63,13.68631797,82.71254704,-6.072572034,-3.05E-05
166,64,-11.05946782,128.2662068,2.345800213,-180
166,65,10.90473064,55.2520791,-5.452416188,-3.05E-05
166,66,7.885719284,22.66951199,-4.427420796,-3.05E-05
166,67,-11.73039352,132.3931615,3.789499098,-180
166,68,-11.04959041,143.7785833,2.0925907,-180
166,69,-8.172280934,165.1771338,0.607042196,-180
166,70,-11.81187979,148.8637417,3.369707059,-180
166,71,-10.87908854,160.5371195,1.87406181,-180
166,72,-8.269532665,179.6002292,0.558291052,-180
167,55,8.222856715,54.64735886,-1.83512546,-3.05E-05
167,56,11.02653714,88.92709337,-3.384546162,-3.05E-05
167,57,13.74872202,117.8108694,-4.259370466,-3.05E-05
167,58,13.78213042,100.9214908,-4.973849477,-3.05E-05
167,59,10.94409623,73.32116185,-4.106051564,-3.05E-05
167,60,8.085034852,37.18789354,-2.697239569,-3.05E-05
167,61,-8.239204413,147.2979555,0.680728885,-180
167,62,-11.74898259,115.3487253,4.350460961,-180
167,63,13.7236051,84.08471013,-5.973111238,-3.05E-05
167,64,-11.00431142,127.1657446,2.36611171,-180
167,65,10.85494791,56.33731435,-5.347076349,-3.05E-05
167,66,7.79613281,23.44773504,-4.280197382,-3.05E-05
167,67,-11.60004183,131.2331229,3.823046057,-180
167,68,-10.99442726,142.6791203,2.108723135,-180
167,69,-8.236396986,164.3534923,0.610084443,-180
167,70,-11.81618354,147.6821025,3.39670038,-180
167,71,-10.94596912,159.4425078,1.886932339,-180
167,72,-8.221376406,178.7780969,0.560858501,-180
168,55,8.206463435,55.46790066,-1.807969197,-3.05E-05
168,56,11.04143481,90.03118158,-3.342992668,-3.05E-05
168,57,13.76317969,119.1871208,-4.210098368,-3.05E-05
168,58,13.70197767,102.2915762,-4.907065644,-3.05E-05
168,59,11.01182866,74.42222661,-4.045201296,-3.05E-05
168,60,8.085568198,37.99611146,-2.639825325,-3.05E-05
168,61,-8.213068121,146.4766445,0.68454599,-180
168,62,-11.69921382,114.1787444,4.395126998,-180
168,63,13.75062293,85.45957762,-5.876675059,-3.05E-05
168,64,-11.06573869,126.0591552,2.386894201,-180
168,65,10.93256037,57.43031681,-5.245023832,-3.05E-05
168,66,7.932036631,24.23961936,-4.140119561,-3.05E-05
168,67,-11.73787031,131.2331229,3.823046057,-180
168,68,-10.98121931,141.5809837,2.12508638,-180
168,69,-8.27258495,163.5262232,0.613170941,-180
168,70,-11.76156845,146.5059115,3.424002432,-180
168,71,-10.8414247,158.3583551,1.899855373,-180
168,72,-8.222933812,177.9557877,0.563450234,-180
169,55,8.248309045,56.29263335,-1.781472381,-3.05E-05
169,56,10.97897213,91.12900372,-3.302675027,-3.05E-05
169,57,13.75522126,120.5625757,-4.161981723,-3.05E-05
169,58,13.73918254,103.6653886,-4.84187908,-3.05E-05
169,59,11.05820684,75.52794538,-3.985883668,-3.05E-05
169,60,8.100399729,38.80584294,-2.584704339,-3.05E-05
169,61,-8.315168079,145.6451262,0.688454393,-180
169,62,-11.73976235,113.0047047,4.440880472,-180
169,63,13.70771554,86.83015623,-5.783595222,-3.05E-05
169,64,-11.05631018,124.9534957,2.408027187,-180
169,65,10.97117917,58.52718037,-5.146458561,-3.05E-05
169,66,7.933371581,25.03178331,-4.008882248,-3.05E-05
169,67,-11.65869575,128.8934666,3.892547462,-180
169,68,-10.96217865,140.4847491,2.141676611,-180
169,69,-8.286515371,162.6975674,0.61629408,-180
169,70,-11.82574397,145.3233104,3.451899646,-180
169,71,-10.89505875,157.2688395,1.913021928,-180
169,72,-8.343114454,177.1214785,0.566104384,-180
170,55,8.240661072,57.11659922,-1.755764697,-3.05E-05
170,56,10.97743612,92.22669168,-3.263323561,-3.05E-05
170,57,13.70792467,121.9333015,-4.1151133,-3.05E-05
170,58,13.70523816,105.0358074,-4.778558457,-3.05E-05
170,59,10.92641645,76.62048439,-3.92895866,-3.05E-05
170,60,8.102817162,39.61583886,-2.531822006,-3.05E-05
170,61,-8.235671506,144.8215519,0.6923697,-180
170,62,-11.69484076,111.8351586,4.487416868,-180
170,63,13.63643144,88.19362514,-5.693883278,-3.05E-05
170,64,-10.95422938,123.8580518,2.429337337,-180
170,65,10.92358693,59.61932397,-5.05193517,-3.05E-05
170,66,7.877501726,25.81849223,-3.886537917,-3.05E-05
170,67,-11.78149144,127.7152695,3.928513056,-180
170,68,-10.98708233,139.3860237,2.158566569,-180
170,69,-8.234917142,161.8740722,0.619429449,-180
170,70,-11.77507692,144.145768,3.480133177,-180
170,71,-10.827668,156.1860583,1.926289196,-180
170,72,-8.259580523,176.295523,0.568756705,-180
171,55,8.214332655,57.93794191,-1.730866911,-3.05E-05
171,56,11.05511213,93.33214064,-3.224630842,-3.05E-05
171,57,13.81319093,123.3145523,-4.068941676,-3.05E-05
171,58,13.65490963,106.4012009,-4.71709777,-3.05E-05
171,59,10.9498139,77.71536667,-3.873520974,-3.05E-05
171,60,8.150315466,40.43060002,-2.48076826,-3.05E-05
171,61,-8.2496443,143.9965758,0.696336576,-180
171,62,-11.75522068,110.6595751,4.535187877,-180
171,63,13.61265364,89.5547307,-5.6070648,-3.05E-05
171,64,-11.04608139,122.7534141,2.451211829,-180
171,65,10.8317095,60.70228619,-4.961577828,-3.05E-05
171,66,7.976783993,26.61518505,-3.770028388,-3.05E-05
171,67,-11.67621373,126.5476059,3.964819423,-180
171,68,-10.95049422,138.2909569,2.17566752,-180
171,69,-8.240346862,161.0500367,0.622598973,-180
171,70,-11.80971013,142.964774,3.508917481,-180
171,71,-10.82864256,155.1031865,1.939742942,-180
171,72,-8.329781755,175.4625381,0.571456891,-180
172,55,8.138826162,58.75173178,-1.70688495,-3.05E-05
172,56,11.05587241,94.43767345,-3.186842555,-3.05E-05
172,57,13.71248821,123.3145523,-4.068941676,-3.05E-05
172,58,13.78161864,106.4012009,-4.71709777,-3.05E-05
172,59,11.02213005,77.71536667,-3.873520974,-3.05E-05
172,60,8.09903419,40.43060002,-2.48076826,-3.05E-05
172,61,-8.212401176,143.1753376,0.700330885,-180
172,62,-11.66432709,109.4930802,4.583606717,-180
172,63,13.57399379,90.91197052,-5.523093763,-3.05E-05
172,64,-11.06034591,121.6473586,2.473512801,-180
172,65,10.85266902,61.78735231,-4.874233374,-3.05E-05
172,66,7.989212347,27.41321658,-3.660126565,-3.05E-05
172,67,-11.77879843,125.3696816,4.002131729,-180
172,68,-10.95515253,137.1954225,2.193049141,-180
172,69,-8.314274746,160.2186013,0.625830004,-180
172,70,-11.80123084,141.7846198,3.538161229,-180
172,71,-10.85002267,154.0181679,1.953413213,-180
172,72,-8.28133043,174.634408,0.574166875,-180
173,55,8.183180032,59.56996185,-1.683433039,-3.05E-05
173,56,10.97052585,95.53467354,-3.150211728,-3.05E-05
173,57,13.80148797,126.065954,-3.979991914,-3.05E-05
173,58,13.64170444,109.1435346,-4.598317831,-3.05E-05
173,59,11.03040022,79.92061125,-3.766482718,-3.05E-05
173,60,8.090335958,42.04956306,-2.385199125,-3.05E-05
173,61,-8.22065281,142.353258,0.704375448,-180
173,62,-11.74457844,108.3185536,4.633416014,-180
173,63,13.66045174,92.27785328,-5.441093251,-3.05E-05
173,64,-11.01621057,120.5457078,2.496132144,-180
173,65,10.92542015,62.87969896,-4.78935862,-3.05E-05
173,66,8.017205515,28.21412225,-3.556092093,-3.05E-05
173,67,-11.6870775,124.200934,4.039854572,-180
173,68,-11.0533496,136.0900717,2.210870334,-180
173,69,-8.253754461,159.3932263,0.629070827,-180
173,70,-11.85378776,140.5992038,3.568030533,-180
173,71,-10.82492094,152.9356648,1.9672452,-180
173,72,-8.357685108,173.7986313,0.576928068,-180
174,55,8.167221525,60.38660388,-1.660660606,-3.05E-05
174,56,10.9730089,96.63191793,-3.114405959,-3.05E-05
174,57,13.81352853,127.447251,-3.936787634,-3.05E-05
174,58,13.74658298,110.5181065,-4.541005318,-3.05E-05
174,59,10.93917627,81.01444319,-3.715556937,-3.05E-05
174,60,8.175723607,42.86690039,-2.339695317,-3.05E-05
174,61,-8.249281496,141.5283257,0.70848128,-180
174,62,-11.69959523,107.1485219,4.684124021,-180
174,63,13.54436477,93.63214574,-5.362161163,-3.05E-05
174,64,-11.02967442,119.442718,2.519197391,-180
174,65,11.00447958,63.97996316,-4.706808547,-3.05E-05
174,66,8.011962749,29.01456538,-3.457866955,-3.05E-05
174,67,-11.73588449,123.0272925,4.07845842,-180
174,68,-11.02984108,134.9870689,2.228944822,-180
174,69,-8.249869253,158.5682335,0.632343865,-180
174,70,-11.74723215,139.4244488,3.598133268,-180
174,71,-10.8753291,151.8481218,1.981340297,-180
174,72,-8.277699637,172.9708501,0.579689148,-180
175,55,8.183999281,61.20492117,-1.638451275,-3.05E-05
175,56,10.99365763,97.73124007,-3.079339848,-3.05E-05
175,57,13.71220746,128.8184079,-3.894819032,-3.05E-05
175,58,13.78213521,111.8962321,-4.484962595,-3.05E-05
175,59,10.91061655,82.10543029,-3.666118022,-3.05E-05
175,60,8.187960821,43.68546382,-2.295831195,-3.05E-05
175,61,-8.301791203,140.6981448,0.712661846,-180
175,62,-11.74921337,105.9735313,4.736177605,-180
175,63,13.72805228,95.00481664,-5.284464262,-3.05E-05
175,64,-10.95534816,118.3471558,2.542533332,-180
175,65,10.8654685,65.06634497,-4.628048375,-3.05E-05
175,66,8.013659711,29.81523917,-3.364899228,-3.05E-05
175,67,-11.66803389,121.8604416,4.117577954,-180
