帧号,速度(m/s),距离(m),角度(deg),SNR(dB)
110,-8.164660378,210.0672215,0.356464735,10.37782733
110,3.428941362,11.5,-52.08179734,13.71138152
110,3.566099017,11.5,-52.08179734,14.65748083
110,4.046150808,12,-53.13010235,18.49281476
110,4.251887289,10.5,-50.05549481,11.25944713
110,4.251887289,12,-54.20463246,16.04361572
110,4.389044944,15,-53.13010235,7.386950648
110,4.526202598,11,-47.16657193,25.39052647
110,4.869096735,14.5,-52.08179734,10.12593074
110,5.006254389,7.5,-8.949018065,31.31807484
110,5.074833216,12.5,-51.05755873,46.92049961
110,5.554885007,11.5,-51.05755873,13.31714331
110,5.692042662,15,-24.97496537,7.336575707
110,5.829200316,8,-11.53695903,14.53138352
110,5.897779143,8.5,-13.49339882,14.62586699
110,5.966357971,11,-48.11140308,29.17405696
110,6.240673279,10,-16.12762021,27.51243994
110,6.309252107,9,-11.53695903,14.6412454
110,6.514988588,10.5,-11.53695903,46.88903093
110,6.583567416,13,-41.8103149,24.56958776
110,6.926461552,13,-30.73786867,16.21880076
110,7.200776861,12,-31.48143216,17.46637353
110,7.406513343,12.5,-38.47859513,28.38547663
110,7.612249824,11,-25.67928862,25.3118196
110,7.817986306,11,-24.27465219,35.09617679
110,8.023722788,12.5,-38.47859513,31.48065526
110,8.640932233,13,-24.97496537,10.59138274
110,8.846668715,14.5,-24.97496537,26.87373857
110,9.875351124,25,-12.18747414,11.0864633
110,10.42398174,24.5,-11.53695903,19.50062558
110,10.42398174,25.5,-12.83958841,22.98958387
110,10.49256057,27,-11.53695903,20.03631257
110,12.0698736,22,-22.19610086,25.42908277
110,12.20703125,22,-21.51018827,30.1771385
110,12.3441889,23,-20.14788629,15.02107131
110,12.54992539,24.5,-19.47122063,13.4497302
110,13.30429249,38,-14.80650691,10.89025099
110,13.37287131,42.5,-12.83958841,28.72996724
110,13.44145014,39,-11.53695903,9.693573257
110,13.44145014,41,-10.88794813,8.268087475
111,-11.75019906,178.0569782,2.785989899,10.26365378
111,-11.75019906,180.0576184,2.785989899,9.034289426
111,-11.10221014,184.0588988,1.698365175,8.679488718
111,-11.10221014,186.0595391,1.698365175,16.16038768
111,-11.10221014,188.0601793,1.698365175,12.68832775
111,-10.58381901,200.0640205,1.249601589,4.25901568
111,-8.294258162,190.0608195,0.623993699,6.003794844
111,-8.294258162,192.0614597,0.534790795,5.905082768
111,5.006254389,12,-49.07393669,39.80150805
