帧号,车辆ID,速度(m/s),距离(m),角度(deg),Yaw(deg)
229,234,-2.750930249,198.9852484,0.503901206,-180
230,218,5.472996028,52.80009987,-5.706442162,-3.05E-05
230,219,8.257469868,107.5565856,-4.666313242,-3.05E-05
230,220,8.153750971,96.9690906,-5.177123113,-3.05E-05
230,221,5.324298038,43.79662721,-6.8847295,-3.05E-05
230,223,-5.525936296,135.5745812,2.219280848,-180
230,224,5.249881391,32.62221454,-9.261071292,-3.05E-05
230,225,-8.175130089,96.20245496,5.218493519,-180
230,226,-2.739242368,180.414752,0.555770443,-180
230,227,8.131306797,81.9343507,-6.130468186,-3.05E-05
230,229,-5.434533463,144.7364569,2.078735723,-180
230,230,-8.25951537,106.6709348,4.705142945,-180
230,231,-2.654585929,190.9134765,0.525206602,-180
230,232,-8.269407861,120.6458246,4.159104787,-180
230,233,-5.507816553,156.3117686,1.924739437,-180
230,234,-2.687599946,198.7164894,0.504582738,-180
231,218,5.408418057,53.34087499,-5.64840056,-3.05E-05
231,219,8.223115033,108.378863,-4.630832031,-3.05E-05
231,220,8.243974946,97.79344273,-5.133364784,-3.05E-05
231,221,5.473652359,44.34386043,-6.799363639,-3.05E-05
231,223,-5.541417926,135.0204344,2.228393739,-180
231,224,5.309690557,33.15286676,-9.111563571,-3.05E-05
231,225,-8.20071171,95.38233493,5.263489474,-180
231,226,-2.712651379,180.1434851,0.556607369,-180
231,227,8.149347889,82.74920862,-6.069871502,-3.05E-05
231,229,-5.583993048,144.1780511,2.086790282,-180
231,230,-8.168328306,105.8540655,4.741535035,-180
231,231,-2.67891824,190.6455942,0.525944608,-180
231,232,-8.177258984,119.8280795,4.187538318,-180
231,233,-5.517617483,155.760003,1.93156023,-180
231,234,-2.625257579,198.4539675,0.505250235,-180
232,218,5.453996694,53.88619819,-5.591056212,-3.05E-05
232,219,8.266517908,109.2054768,-4.595704017,-3.05E-05
232,220,8.197893892,98.61317257,-5.090580168,-3.05E-05
232,221,5.338761698,44.87761364,-6.718120279,-3.05E-05
232,223,-5.496215606,134.4708119,2.237506476,-180
232,224,5.308948792,33.68344122,-8.966847055,-3.05E-05
232,225,-8.198536355,94.56243289,5.309256978,-180
232,226,-2.718212963,179.8716624,0.557448542,-180
232,227,8.213514906,83.57049168,-6.009999423,-3.05E-05
232,229,-5.51761988,143.6262862,2.094810611,-180
232,230,-8.276993958,105.026327,4.778990806,-180
232,231,-2.686186617,190.3769654,0.526686756,-180
232,232,-8.224692575,119.0055833,4.216532286,-180
232,233,-5.451268351,155.2148706,1.938346676,-180
232,234,-2.65275446,198.1886785,0.505926564,-180
